ID	EGAR00001193088	EGAR00001193082	EGAR00001193062	EGAR00001193016	EGAR00001193014	EGAR00001193032	EGAR00001193066	EGAR00001193060	EGAR00001193048	EGAR00001193040	EGAR00001193068	EGAR00001193080	EGAR00001193078	EGAR00001193064	EGAR00001193058	EGAR00001193090	EGAR00001193052	EGAR00001193018	EGAR00001193056	EGAR00001193034	EGAR00001193074	EGAR00001193028	EGAR00001193076	EGAR00001193084	EGAR00001193044	EGAR00001193012	EGAR00001193070	EGAR00001193030	EGAR00001193026	EGAR00001193046	EGAR00001193054	EGAR00001193050	EGAR00001193038	EGAR00001193022	EGAR00001193020	EGAR00001193042	EGAR00001193086	EGAR00001193024	EGAR00001193036	EGAR00001193072
6__98875415__98905670__6:98875415|98905670	0.0408	0.0615	0.0622	0.0812	0	0.045	0.0342	0.0204	0.0186	0.0954	0.0199	0.0206	0.0316	0.0581	0.0576	0.0729	0.0373	0.0604	0.0717	0.0415	0.1027	0.0515	0.0296	0.0615	0.0479	0.0682	0.0877	0.0612	0.0697	0.0478	0.0519	0.0197	0.0393	0.0475	0	0.1257	0.0181	0.0132	0.0425	0.0217
6__99412551__99416428__6:99412551|99416428	0.2039	0.1539	0.1658	0.2321	0.1716	0.1501	0.1367	0.1632	0.0745	0.3578	0.3376	0.2266	0.1739	0.4452	0.1344	0.1641	0.2983	0.3219	0.1195	0.1454	0.1711	0.2062	0.2518	0.2306	0.2714	0.2047	0.1534	0.3469	0.209	0.1912	0.1556	0.2167	0.1728	0.0317	0.2087	0.2513	0.1266	0.185	0.2126	0.2171
6__100715462__100725703__6:100715462|100725703	0.0408	0	0.0622	0.0464	0.0381	0.015	0.0171	0.0204	0	0.0239	0.0397	0.0618	0.0316	0	0	0.0365	0.0373	0.0402	0.0717	0.0831	0	0.0515	0	0.0769	0.0479	0	0.0438	0.1836	0	0	0.0173	0	0.0314	0.0475	0.0596	0.1077	0	0.0529	0.0213	0.0217
6__100798713__100805880__6:100798713|100805880	0.102	0.1846	0.1244	0.1625	0.0763	0.0901	0.0342	0.102	0.1117	0.3817	0.2383	0.1442	0.2055	0.1742	0.1729	0.1459	0.2797	0.1811	0.0956	0.1661	0.1711	0.232	0.163	0.2153	0.1756	0.1194	0.1096	0.4081	0.0871	0.1753	0.1728	0.1576	0.1728	0.1743	0.1491	0.2693	0.1085	0.0529	0.1276	0.0434
6__104744160__104750472__6:104744160|104750472	0.1223	0.1385	0.1244	0.0348	0	0.06	0	0.0408	0	0.0477	0	0.0618	0.079	0.1936	0.0576	0	0.0373	0.1006	0	0.0415	0	0.0773	0.0741	0.0769	0.0639	0.0512	0.0438	0.1428	0.0348	0	0.0346	0.0591	0.1257	0.0317	0.0596	0.1077	0.0904	0.1057	0.1276	0.0434
6__104833042__104843298__6:104833042|104843298	0.0816	0.1692	0.1244	0.058	0.1716	0.03	0.0171	0.102	0.0559	0.0716	0.139	0.1442	0.079	0.0581	0.0192	0.1641	0.0932	0.1408	0	0.0831	0	0.0773	0.0889	0.1076	0.0798	0.0341	0.1534	0.1428	0.0348	0.1115	0.0864	0.1182	0.0628	0.0792	0.0895	0.1077	0.0904	0.1057	0.0213	0.0434
6__104843223__104849246__6:104843223|104849246	0.0408	0.1231	0	0	0	0	0.0342	0.0204	0.0745	0	0	0	0.0316	0.0581	0.0384	0.0365	0	0	0.0239	0	0	0.0515	0.0444	0	0	0	0	0.0612	0.0348	0	0.0173	0	0.0393	0	0.0298	0.0359	0.0181	0.0264	0	0
6__107881149__107883146__6:107881149|107883146	0.2039	0.0462	0.1036	0.0116	0.2478	0.1201	0.0342	0.102	0.1862	0.2147	0.2979	0.309	0.2529	0.0774	0.4801	0.1277	0.0373	0.3823	0.2152	0.2077	0.2396	0.1804	0.0444	0.1999	0.3353	0.2559	0.1754	0.6121	0.1567	0.1912	0.4148	0.0591	0.1021	0.2535	0.1491	0.4488	0.217	0.2115	0.0638	0.2171
6__107904629__107924932__6:107904629|107924932	0.0612	0	0.0829	0.0812	0.0191	0.015	0.0171	0	0.0372	0.0239	0.0397	0.0618	0.0632	0.0581	0.0384	0.0365	0.0559	0.0201	0	0.0415	0.0685	0.1031	0	0.0308	0	0.0341	0.0438	0.0204	0.0348	0.0319	0.0346	0	0.0236	0	0.0596	0.1257	0.0362	0.0397	0	0.0651
6__107921797__107929514__6:107921797|107929514	0.1223	0.0462	0.0415	0.0464	0.0191	0.0901	0	0.0408	0.0559	0	0.0596	0.1648	0.0316	0.1548	0.1152	0.0547	0.0559	0.0604	0.1435	0.1038	0.0342	0.0515	0.1037	0.0615	0.1277	0.0341	0.0877	0.0612	0.0522	0.0478	0.0864	0.0197	0.0707	0.0634	0.0298	0.0718	0.0362	0.0264	0.0213	0.1303
