ID	EGAR00001193088	EGAR00001193082	EGAR00001193062	EGAR00001193016	EGAR00001193014	EGAR00001193032	EGAR00001193066	EGAR00001193060	EGAR00001193048	EGAR00001193040	EGAR00001193068	EGAR00001193080	EGAR00001193078	EGAR00001193064	EGAR00001193058	EGAR00001193090	EGAR00001193052	EGAR00001193018	EGAR00001193056	EGAR00001193034	EGAR00001193074	EGAR00001193028	EGAR00001193076	EGAR00001193084	EGAR00001193044	EGAR00001193012	EGAR00001193070	EGAR00001193030	EGAR00001193026	EGAR00001193046	EGAR00001193054	EGAR00001193050	EGAR00001193038	EGAR00001193022	EGAR00001193020	EGAR00001193042	EGAR00001193086	EGAR00001193024	EGAR00001193036	EGAR00001193072
1__805799__810170__1:805799|810170	4.7713	7.108	4.0001	4.5961	4.0033	4.6084	2.8033	2.7344	3.0728	6.6792	6.0577	5.5002	4.6162	9.1936	5.6658	5.2155	4.2511	4.8492	3.1083	3.8001	5.1342	5.0258	4.1034	4.3976	5.908	4.8783	8.0008	7.5495	3.1866	4.4453	3.9754	4.4332	4.9333	4.5311	5.0092	6.5887	3.9775	6.2782	4.5706	2.6703
1__1804419__1806538__1:1804419|1806538	0.0408	0.0615	0.0622	0.0929	0.0572	0.0751	0.0342	0.0408	0.0372	0.1193	0.0596	0.0618	0.0474	0.1161	0.0384	0.0182	0.0186	0.0604	0	0.0415	0.1711	0.1031	0.0148	0.0154	0.1277	0.0341	0	0.1428	0.0174	0.0319	0	0.0788	0.0628	0.0634	0	0.1795	0.0542	0.0397	0	0.0434
1__1804419__1817875__1:1804419|1817875	0.1427	0.1231	0	0.1741	0.0572	0.1351	0	0	0.0372	0.2147	0	0.103	0.1265	0.1936	0	0.0729	0.0932	0.1207	0.1195	0.1246	0	0.1031	0.0593	0.123	0.1597	0.0512	0	0.1632	0.0174	0.1115	0.0864	0.0788	0.0707	0	0	0.0898	0.1446	0.0793	0.0213	0.1085
1__1815756__1825499__1:1815756|1825499	0.102	0.1077	0.1244	0.1625	0.0381	0.1201	0.0342	0.0816	0.0931	0.0954	0.0794	0.1648	0.0316	0.2129	0.096	0.0912	0.0746	0.2415	0.0956	0.1869	0	0.1289	0.0889	0.1384	0.0798	0.0341	0.1315	0.2857	0.0697	0.0478	0.1383	0.0788	0.055	0.0317	0.0596	0.1436	0.1808	0.1586	0.1913	0.0651
1__1815756__1839238__1:1815756|1839238	0.102	0.2154	0.1451	0.1161	0.0191	0.2252	0	0.1224	0.0745	0.0954	0.1589	0.1442	0.0632	0.1936	0.0576	0	0.0746	0.1006	0.0717	0.1246	0.0685	0.1546	0.163	0.2153	0.0479	0.0853	0.2192	0.2653	0.209	0.1115	0.0864	0.1379	0.1728	0.1901	0.2087	0.1795	0.1266	0.119	0.2126	0
1__2302978__2304585__1:2302978|2304585	0.0408	0.0769	0.1036	0.0464	0.0381	0.1801	0	0	0.0372	0.0239	0.0596	0.0412	0.0949	0.0581	0.096	0.1094	0.0746	0.1006	0.0717	0.0623	0.0685	0.0773	0.0741	0.1384	0.0798	0.0512	0.1315	0	0.1741	0.0956	0.1383	0.0788	0.0628	0.0792	0.0596	0.1077	0.0723	0	0.0638	0
1__7777160__7778169__1:7777160|7778169	1.3865	2.2309	1.3057	1.799	1.5251	2.1015	1.5726	1.1631	1.5644	1.0257	2.0854	2.1424	1.407	2.8645	1.7093	2.0242	2.2374	2.0926	1.6737	1.4121	1.6772	1.4691	1.6591	1.6299	1.9321	1.9445	1.8194	2.5505	1.4627	1.5455	1.7803	1.458	1.6732	1.6001	1.6996	2.2261	2.2238	1.8108	1.148	0.825
1__8655973__8656441__1:8655973|8656441	0.0816	0.2	0.2487	0.2902	0.1334	0.3002	0.1367	0.1428	0.1117	0.167	0	0.0618	0.1739	0.4258	0.2113	0.2371	0.2051	0.2415	0.0956	0.27	0.2396	0.232	0.1926	0.1384	0.0958	0.2217	0.1973	0.3469	0.1219	0.2709	0.2766	0.2561	0.3064	0.1109	0.1193	0.2334	0.3977	0.1718	0.2551	0.0651
1__9931891__9934860__1:9931891|9934860	0.6117	0.7077	0.9327	0.824	0.3813	0.8256	0.3761	0.5102	0.5587	0.6441	0.6753	0.4944	0.6956	1.7032	0.9027	0.7842	0.5407	1.1067	0.5021	0.6022	0.5134	0.9278	0.7555	0.8611	0.5748	0.8358	0.9426	1.5507	0.8532	0.7488	0.8642	0.7881	0.872	0.7288	0.6262	1.0951	0.6689	1.0442	0.5952	0.3908
1__9972018__9981170__1:9972018|9981170	0.0408	0	0.0207	0.0348	0.0381	0.03	0	0	0	0	0.0397	0	0.0474	0.0581	0.0384	0	0.0373	0.0402	0	0.0623	0.0685	0	0	0.0154	0.0798	0	0.0219	0.0408	0.0174	0	0.0173	0	0.0157	0.0158	0.1193	0.0359	0.0181	0	0	0.0217
1__10095461__10105744__1:10095461|10105744	0.0816	0	0.1036	0.0348	0	0.06	0.0342	0.0204	0.0931	0.1193	0.1192	0.0824	0	0.1161	0.096	0.0729	0.1119	0.0604	0	0.0623	0	0.1546	0.0444	0.0461	0.1277	0.0682	0.1096	0.0816	0.1045	0.0797	0.0346	0.1182	0.0707	0.0634	0.0298	0.0718	0.1085	0.0264	0.0638	0.0217
1__10149184__10151561__1:10149184|10151561	0.0408	0	0.0207	0.0232	0.0191	0.015	0.0342	0	0	0.0477	0.0199	0.0412	0	0	0	0.0182	0.0186	0.0201	0	0.0208	0.0685	0	0.0148	0.0308	0.016	0.0171	0.0219	0.0408	0	0.0637	0.0173	0.0394	0.0236	0.0317	0.0596	0.018	0	0.0264	0.0425	0
1__10440347__10442441__1:10440347|10442441	0.0612	0	0	0.058	0.0191	0.03	0.0171	0	0	0.0477	0	0.0206	0.0316	0.0581	0.096	0.0182	0	0.0402	0.0239	0	0.1027	0.0515	0	0.0308	0.0639	0.1194	0	0.0816	0.0522	0.0637	0.0346	0	0.0471	0.0317	0.0596	0.0359	0	0	0.0213	0
1__11016844__11018873__1:11016844|11018873	0.0408	0.0154	0.0415	0.0348	0	0.015	0	0.0204	0	0.0716	0	0.0618	0.0474	0	0.1344	0.0547	0.0932	0	0	0.0415	0.1027	0	0	0	0	0.0341	0.0438	0.0816	0	0.0478	0.0346	0.0197	0.0707	0.0317	0.0596	0.0539	0	0.0397	0.0213	0
1__11073934__11076948__1:11073934|11076948	0.0408	0.0154	0.1244	0.1277	0.0381	0.045	0.1026	0	0.0186	0.0716	0.0596	0.0412	0.0158	0.2129	0.0768	0.0365	0.0746	0.0604	0.0956	0.0208	0.0685	0.0515	0.1037	0.0308	0.0319	0.0682	0	0.1224	0.0348	0.0797	0.0519	0.0788	0.0314	0.0317	0.0596	0.1257	0.0181	0.1057	0.0213	0.1085
1__12001401__12002103__1:12001401|12002103	0.0408	0.1539	0.0829	0.1161	0.1334	0.1651	0.1197	0.0408	0.0559	0.0954	0.139	0.2266	0.1265	0.1161	0.2305	0.1641	0.1678	0.2817	0.0717	0.1454	0.2738	0.1031	0.1185	0.1999	0.0639	0.1194	0.1973	0.2653	0.0871	0.1434	0.1901	0.2364	0.1493	0.1267	0.1193	0.2872	0.1627	0.1322	0.2551	0.1085
1__13715541__13742157__1:13715541|13742157	0.102	0.1692	0.1451	0.1741	0.1716	0.1351	0.0684	0.2041	0.1117	0.2624	0.3178	0.103	0.2371	0.4258	0.0768	0.2006	0.2237	0.2817	0.0478	0.4153	0.1711	0.4381	0.237	0.1691	0.1277	0.1706	0.1973	0.3673	0.2264	0.1593	0.2593	0.197	0.1964	0.1584	0.2087	0.2334	0.0723	0.2247	0.2126	0.1954
1__13715541__13749487__1:13715541|13749487	0.0408	0.0615	0	0.0232	0.0191	0.0751	0.0171	0	0.0559	0.0239	0.139	0.0206	0.1423	0.0581	0.1152	0.0729	0.0373	0.1006	0	0.2077	0	0.0258	0.0296	0.1384	0.0958	0	0.0219	0.0408	0	0.0478	0.1901	0.0788	0.0864	0.0317	0.0596	0.0898	0.0723	0.0529	0.1276	0.0434
1__13731000__13742157__1:13731000|13742157	0.2039	0.2769	0.1036	0.4643	0.2669	0.4353	0.2222	0.1632	0.298	0.5009	0.3575	0.0206	0.2371	0.4839	0.3841	0.0729	0.1119	0.3018	0.0956	0.5399	0.1711	0.3866	0.0296	0.4613	0.3353	0.1194	0.2411	0.5101	0.0871	0.3187	0.1901	0.4138	0.3535	0.1743	0.0895	0.4488	0.4158	0.2908	0.2976	0.152
1__13731000__13749487__1:13731000|13749487	0.0408	0.0769	0.1036	0.1393	0.1334	0.1501	0.0855	0.0612	0.1117	0.0477	0.139	0.103	0.1265	0.2903	0.1152	0.0547	0.2237	0.2616	0.0717	0.1246	0.0685	0.1031	0.2074	0.1076	0.1118	0.0682	0.0438	0.1836	0.1567	0.0159	0.2247	0.1576	0.1414	0.1109	0.0298	0.1795	0.1446	0.0661	0.1913	0.1303
1__13769118__13773188__1:13769118|13773188	0.102	0.0308	0.0415	0.0348	0.0572	0.06	0.0342	0	0.0372	0.0954	0.0397	0.0824	0.0316	0.0968	0.0768	0.0365	0	0.0604	0.0478	0.0415	0	0.0773	0.0296	0.0154	0.0319	0.1023	0	0.0816	0.0348	0.1434	0.0519	0.0985	0.0236	0.0317	0	0.0359	0.0542	0.0793	0.0638	0
1__15534237__15536814__1:15534237|15536814	0.1427	0.2154	0.2487	0.2321	0.1716	0.2252	0.0513	0.0816	0.1117	0.1908	0.1589	0.1648	0.1739	0.3871	0.1921	0.1824	0.1492	0.3219	0.263	0.1661	0.1369	0.1546	0.163	0.2306	0.2395	0.307	0.3507	0.204	0.1915	0.1753	0.2593	0.4138	0.22	0.1426	0.2385	0.3411	0.1085	0.185	0.2126	0.2605
1__15536475__15536814__1:15536475|15536814	0.0408	0.0308	0.0415	0	0	0.045	0.0684	0	0.0372	0.0716	0.0199	0.0206	0.0474	0.0581	0.0576	0.0182	0.0373	0.0402	0	0	0.0685	0	0.0148	0.0615	0.0639	0.0341	0.0438	0.0204	0	0	0.0173	0.0788	0.0157	0.0158	0.0596	0.0359	0.0362	0.0132	0.0638	0.0651
1__15638307__15643650__1:15638307|15643650	0.102	0.3385	0.2902	0.4526	0.2669	0.3453	0.2906	0.1632	0.298	0.4532	0.2781	0.4532	0.411	0.6	0.2689	0.2735	0.317	0.3823	0.0956	0.0623	0.1711	0.5928	0.1185	0.2153	0.3353	0.5117	0.1754	0.3673	0.2438	0.3824	0.363	0.3941	0.3378	0.3169	0.2982	0.5027	0.1808	0.0661	0.3827	0.2605
1__16201782__16202574__1:16201782|16202574	0.0816	0.0308	0.0622	0.0812	0.0191	0.1351	0.0342	0.0612	0	0	0.0794	0.103	0.0632	0.1548	0.0576	0.0547	0.1678	0.0805	0.0478	0.0208	0	0.0773	0.0593	0.0308	0.0319	0.0682	0.0438	0.102	0.0522	0.0478	0.121	0.0591	0.0943	0.0317	0	0.0359	0.0904	0.1057	0.0638	0.0651
1__16580745__16585698__1:16580745|16585698	0.1223	0.0308	0.1451	0.0232	0	0	0.0342	0.0612	0	0.0239	0	0.0206	0.0316	0.0194	0	0	0	0.2213	0.0478	0	0	0	0.0296	0	0.016	0.0171	0	0	0.0174	0	0.0691	0.0985	0	0.0634	0.1193	0.2154	0.0723	0.0925	0.0213	0
1__19193433__19197265__1:19193433|19197265	0.0408	0.0154	0.0415	0.1045	0	0	0	0.0612	0.0559	0	0.0397	0.0206	0.0316	0.1161	0.0384	0.0365	0.0373	0.0201	0	0	0	0.0773	0.0296	0.0308	0.0479	0.0512	0	0.0612	0.0174	0.0159	0.0346	0	0.0157	0.0317	0	0.0718	0.0181	0	0	0.0217
1__20749723__20773610__1:20749723|20773610	0.0816	0.1692	0.1658	0.2902	0.2097	0.2102	0.0684	0.0816	0	0.2385	0.1986	0.2266	0.2529	0.4065	0.3265	0.2006	0.1678	0.2213	0.1195	0.2077	0.2738	0.1804	0.1481	0.1999	0.1277	0.0853	0.1315	0.4285	0.1045	0.1593	0.1037	0.2364	0.2278	0.206	0.2684	0.2872	0.1989	0.119	0.1063	0.0434
1__20757166__20773610__1:20757166|20773610	0.469	0.3385	0.4974	0.8705	0.4385	0.4053	0.2222	0.3061	0.2793	1.0973	0.3972	0.4738	0.3162	0.6	0.4609	0.383	0.2797	0.5433	0.3826	0.5814	0.2396	0.3866	0.5185	0.6151	0.5748	0.5629	0.6357	0.857	0.3134	0.6532	0.3975	0.3941	0.2985	0.4911	0.2982	0.9156	0.4701	0.3833	0.5952	0.5862
1__20765377__20773610__1:20765377|20773610	0.0612	0.1231	0.1658	0.1509	0.0953	0.2252	0.0855	0.0204	0.0745	0.1431	0.0794	0.0206	0.1265	0.2129	0.1729	0.1459	0.0559	0.1207	0.0478	0.1038	0.1711	0.2062	0.1037	0.1538	0.1277	0.0682	0.1096	0.1836	0.0522	0.0319	0.2247	0.1379	0.0628	0.1743	0.0596	0.2334	0.0362	0.119	0.0638	0
1__20770930__20773610__1:20770930|20773610	0.6729	0.877	0.5596	0.8937	0.8007	1.0508	0.188	0.2449	0.4842	1.145	0.8143	0.7004	0.7904	1.8	0.8835	0.8936	0.7458	0.7445	0.5499	0.7683	0.5819	0.8505	0.7703	0.7381	0.99	0.8699	0.9206	1.5099	0.4527	0.717	1.0543	0.8275	0.7227	0.6654	0.5367	1.2028	0.4701	0.6212	0.6378	0.6947
1__21701498__21703618__1:21701498|21703618	0.0612	0.0769	0.0829	0.0929	0.0381	0.1051	0.0342	0.0408	0.0372	0.0239	0.0993	0.1442	0.0632	0.1548	0	0.0912	0.0932	0.1207	0.0956	0.0831	0	0.0773	0.0889	0.0154	0.0639	0.0682	0.1315	0.0612	0.0522	0.0797	0.0691	0.1379	0.055	0.0792	0.0596	0.0359	0.0362	0.0397	0.0638	0.0434
1__21715389__21721764__1:21715389|21721764	0.1427	0.3077	0.2487	0.4294	0.2478	0.0751	0.1026	0.0612	0.1304	0.4771	0.2582	0.2678	0.411	0.4065	0.4801	0.31	0.1119	0.2616	0.0956	0.27	0.0685	0.4897	0.1185	0.0769	0.3513	0.1876	0.2192	0.3061	0.1915	0.2549	0.4148	0.3547	0.3692	0.1901	0.3876	0.3591	0.3073	0.3436	0.1913	0.2388
1__21721036__21721764__1:21721036|21721764	0.0408	0.1539	0	0.1973	0.0953	0.045	0.0342	0.0204	0.0559	0.167	0.1589	0.103	0.1265	0.1936	0.0768	0.1094	0.1305	0.0402	0.0478	0.0831	0.0685	0.1289	0.1481	0.0308	0.0639	0.0853	0.1754	0.102	0.0871	0.1753	0.1901	0.0788	0.1335	0.0634	0.1193	0.2513	0.1266	0.0661	0.1063	0.0434
1__23030469__23044486__1:23030469|23044486	0.0816	0.1539	0.0622	0.0348	0.0572	0.06	0.0855	0.102	0.1304	0.0477	0.0993	0.0412	0.0632	0.1355	0.1344	0.0729	0.1678	0.0604	0	0	0.1369	0	0.1037	0.0769	0.0958	0.1194	0.0877	0.0612	0.0871	0.0637	0.0864	0.0591	0.0864	0	0	0.0718	0.0723	0.1057	0.0425	0.0434
1__23030469__23050520__1:23030469|23050520	0.6729	0.9539	0.7254	1.2883	0.6863	1.306	0.4273	0.5714	0.6146	1.4074	0.8143	0.9682	0.9802	2.1484	1.4597	0.9118	1.0628	1.2274	0.6934	1.0383	0.6161	0.9794	0.7999	1.1532	1.1337	0.8699	0.9206	1.6119	0.7836	0.94	1.1408	1.3989	0.8641	0.7446	0.8051	1.6876	0.8317	1.0045	0.7866	1.0421
1__23030469__23059167__1:23030469|23059167	0.1223	0.1846	0.0829	0.1393	0.0953	0.2402	0.1026	0.0408	0.1117	0.1908	0.1589	0.1236	0.1423	0.271	0.1729	0.2553	0.1865	0.1811	0.1195	0.1038	0.2738	0.232	0.1481	0.0923	0.1916	0.2729	0.2411	0.2857	0.0697	0.1593	0.1901	0.0591	0.1178	0.1584	0.0895	0.3231	0.0723	0.1322	0.1913	0.0868
1__23071225__23072197__1:23071225|23072197	0.1631	0.1692	0.1036	0.383	0.3241	0.2102	0.1709	0.1224	0.1304	0.1431	0.3575	0.206	0.2213	0.5419	0.4225	0.2918	0.2983	0.2213	0.1195	0.1661	0.2738	0.1804	0.2074	0.2153	0.2714	0.2388	0.2192	0.4489	0.0348	0.0319	0.2247	0.0591	0.2435	0.2535	0.2982	0.3231	0.1627	0.0661	0.2764	0.0868
1__23408664__23419139__1:23408664|23419139	0.0408	0	0.0415	0.0696	0	0.1051	0.0342	0.0408	0.0745	0	0.0794	0	0	0.0968	0.0768	0.0182	0.0373	0.0402	0	0.1246	0	0.0515	0.0593	0.1384	0.0479	0.0171	0.0877	0.102	0	0	0.0691	0.1182	0.0628	0.0317	0	0.1077	0.0723	0.0661	0	0.1303
1__23785675__23786423__1:23785675|23786423	0.0612	0.0154	0.0622	0	0	0.03	0	0.0204	0	0.0477	0.0199	0.0206	0	0.0387	0.0192	0.0365	0.0373	0.0201	0	0	0	0.0773	0.0296	0.0308	0	0.0682	0	0.0816	0.0174	0	0.0173	0	0.0079	0	0	0.0359	0	0	0	0.0434
1__24514314__24514567__1:24514314|24514567	4.4655	6.0772	4.995	2.5534	1.5823	1.8464	3.1281	3.1425	4.0785	6.3929	5.0051	3.6668	4.8849	10.6646	5.9154	5.1061	5.3512	6.7607	3.5387	5.7106	3.902	5.799	5.7922	5.5662	6.1155	6.891	7.5624	10.202	4.7015	5.4012	6.4125	5.7139	6.0645	5.2757	3.3395	8.4199	5.8939	5.8156	4.9745	3.9512
1__24531218__24533254__1:24531218|24533254	0.2243	0.0462	0.1244	0.0696	0.1716	0.1951	0.0855	0.102	0.0186	0.2385	0.0596	0.0824	0.1897	0.329	0.0768	0.1094	0.1305	0.3018	0.0478	0.1869	0.1027	0.1804	0.0889	0.0461	0.1916	0.1706	0.1754	0.1632	0.1567	0.0956	0.2074	0.0394	0.1885	0.1426	0.2087	0.2693	0.1446	0.1718	0.1701	0.1303
1__25227442__25228235__1:25227442|25228235	0.0612	0.2	0.1451	0.1625	0.2288	0.2402	0.1709	0.102	0.149	0.3101	0.2582	0.1442	0.1739	0.329	0.2305	0.3282	0.261	0.2415	0.1913	0.1661	0.1027	0.3608	0.1481	0.2306	0.2395	0.2559	0.1754	0.3469	0.1393	0.1912	0.1728	0.197	0.2357	0.0634	0.1193	0.3052	0.1085	0.1983	0.1488	0.2605
1__25340474__25343073__1:25340474|25343073	0.0612	0	0.0415	0.0232	0.0191	0.06	0	0.0204	0	0.0239	0.139	0.0206	0.0158	0.2129	0.0576	0.0547	0.0746	0.0604	0	0.0623	0	0	0	0.0308	0.016	0.0853	0.0877	0.0612	0.0697	0.0159	0.0691	0.0197	0.055	0	0.0298	0.0359	0.0181	0	0.0638	0.0651
1__25351626__25356853__1:25351626|25356853	0.0612	0.1077	0.0829	0.058	0	0.0751	0.0513	0	0.0559	0	0.0596	0	0.0474	0.2129	0.0576	0.0365	0.1492	0.1811	0	0.0623	0.2396	0.1031	0.0148	0.1076	0	0.1023	0.0658	0.1224	0.0871	0.0478	0.1037	0.0591	0.0157	0.0792	0.0298	0.0898	0.0723	0.0529	0.0425	0
1__26446316__26447660__1:26446316|26447660	0.1631	0.2923	0.1865	0.2553	0.1716	0.2852	0.1026	0.1632	0.1117	0.167	0.2781	0.2266	0.1581	0.5032	0.2497	0.1094	0.2797	0.3622	0.1435	0.1246	0.1369	0.1804	0.2666	0.3537	0.4471	0.2217	0.2411	0.4489	0.1741	0.2231	0.1901	0.2364	0.2435	0.1426	0.3578	0.3052	0.1446	0.2379	0.1276	0.152
1__26941457__26941818__1:26941457|26941818	0.1223	0.0923	0.1865	0.2902	0.0953	0.1651	0.1197	0.102	0.0745	0.2147	0.139	0.0824	0.4426	0.271	0.2881	0.1641	0.1865	0.1408	0.1195	0.2077	0	0	0.0296	0.246	0.1916	0.1706	0.2192	0.1428	0.2612	0.1912	0.2247	0.1379	0.2278	0.1426	0.1491	0.0359	0.0904	0.185	0.1701	0.152
1__26942660__26943065__1:26942660|26943065	0.6933	0.8308	0.9534	1.0794	0.61	1.1108	0.5128	0.5714	0.447	0.978	0.7746	0.618	1.2805	2.0129	1.2484	0.693	0.895	1.2274	0.6695	1.0175	0.3765	1.0567	1.1407	0.938	0.7984	1.1087	1.0083	1.3875	0.8184	0.956	1.4346	1.2019	1.249	0.9347	0.5963	1.7953	0.9582	0.912	1.0842	0.9552
1__28035544__28058094__1:28035544|28058094	0.102	0.0769	0	0.1393	0.0572	0.1051	0.0342	0.0612	0.0372	0.1431	0.0993	0.0206	0.1107	0.1161	0.1152	0.0547	0.0373	0.0402	0.0717	0.1246	0	0	0.0889	0.0308	0.0798	0.0682	0.0438	0.1428	0.0522	0.0956	0.1037	0.0394	0.055	0.0792	0.0298	0.2334	0.0904	0.0793	0.0425	0.0868
1__28473554__28476291__1:28473554|28476291	0.1835	0.1077	0.2694	0.2669	0.0953	0.3152	0.0513	0.1224	0.0745	0.167	0.1192	0.1854	0.1897	0.1548	0.2689	0.1094	0.0746	0.161	0.1435	0.2907	0.0685	0.1546	0.0444	0.1384	0.0639	0.29	0.1534	0.1428	0.1741	0.1912	0.1383	0.1773	0.11	0.206	0.1193	0.1975	0.1627	0.2776	0.1701	0.1737
1__28560633__28561398__1:28560633|28561398	0.0612	0.1077	0.1036	0.0812	0.0763	0.06	0.0342	0.0816	0.0372	0.0716	0.0794	0.0412	0.079	0.2516	0.1729	0.1459	0.0746	0.0604	0	0.1038	0.1369	0.1031	0.1333	0.0308	0.0798	0.0682	0	0.1224	0.0697	0.1275	0.121	0.0788	0.1178	0.1743	0	0.1077	0.1085	0.1322	0.1063	0
1__28987431__28987905__1:28987431|28987905	0.0816	0.1385	0.0207	0.1857	0.2478	0.06	0.2051	0.1428	0.2793	0.3101	0.2185	0.206	0.3004	0.3677	0.096	0.31	0.0186	0	0.2152	0.2284	0.2054	0.232	0.2666	0.1538	0.0479	0.0171	0.3507	0.3877	0.1741	0.2231	0.0864	0.1576	0.0393	0.3327	0.2087	0.3591	0.217	0.185	0.2976	0.2171
1__28993330__28997319__1:28993330|28997319	0.0816	0.0615	0.0622	0.1741	0.0381	0.1651	0	0.0204	0	0.0477	0.0794	0.0824	0.0632	0.0968	0.1729	0.0547	0.0186	0.0805	0.0717	0.0415	0	0.0515	0.0148	0.0615	0.1437	0.0682	0.0877	0.1632	0.0697	0.0478	0.0691	0.0394	0.0707	0.0634	0.0596	0.0718	0.0723	0.0925	0.085	0.0434
1__28993330__29018442__1:28993330|29018442	0.0816	0.0615	0.0207	0.1045	0.1144	0.0751	0.0171	0.0408	0.0559	0.1431	0.2383	0.0824	0.0158	0.1548	0.0576	0	0.0746	0.0201	0.0956	0.0415	0.0342	0.0773	0.0444	0.0769	0.0479	0.1023	0.0438	0.102	0.0697	0.0478	0.0519	0.0591	0.0943	0.0634	0.0298	0.2513	0.0723	0.0661	0.1063	0.0868
1__29035826__29039426__1:29035826|29039426	0.4486	0.4462	0.3523	0.4643	0.2478	0.5104	0.2564	0.2245	0.2607	0.5964	0.2781	0.3296	0.3636	0.7548	0.2881	0.3282	0.3356	0.3823	0.1435	0.4361	0.2738	0.3608	0.2963	0.3844	0.479	0.3241	0.6138	0.6529	0.296	0.4143	0.5531	0.4335	0.4321	0.2693	0.3578	0.3411	0.1989	0.5155	0.4252	0.3691
1__29035826__29053312__1:29035826|29053312	0.0612	0.0923	0.0415	0.0464	0.0572	0.045	0.0171	0.0408	0.0186	0.0716	0.0993	0.0412	0.0632	0.0774	0	0	0.0559	0.1006	0	0	0	0.0773	0.0296	0	0.0479	0.0853	0.1096	0.0816	0.0348	0	0	0	0.0864	0	0	0.0359	0.0181	0.0397	0.0638	0.0434
1__29154696__29154910__1:29154696|29154910	0.5301	0.5693	0.3938	0.8357	0.6482	0.8406	0.359	0.5918	0.2421	0.5725	0.5363	0.6386	0.4268	1.1032	0.5762	0.6747	0.5966	0.1207	0.4065	0.5191	0.6503	0.6959	0.6222	0.5689	0.7824	0.6993	0.0438	0.8978	0.6617	0.6373	0.6568	0.5911	0.6284	0.0475	0.5367	0.5924	0.5785	0.4626	0.3827	0.2388
1__30992390__30995220__1:30992390|30995220	0.102	0.3692	0.2902	0.4062	0.2478	0.4954	0.1367	0.1632	0.149	0.4055	0.3376	0.309	0.3478	0.7161	0.4033	0.4559	0.3543	0.3219	0.263	0.2284	0.4107	0.3093	0.3555	0.2306	0.2076	0.2217	0.3507	0.755	0.209	0.239	0.3457	0.5517	0.3064	0.206	0.2385	0.395	0.3254	0.2776	0.2551	0.3691
1__30992390__31007102__1:30992390|31007102	0.0408	0.1077	0.0207	0.0929	0	0.0901	0	0.0204	0.0186	0.0716	0.0397	0.0206	0.0632	0.1355	0.0576	0.0547	0	0.1006	0	0.0208	0	0.0515	0.1037	0.0461	0.0319	0.0341	0.0438	0.0612	0.0174	0.0478	0.0346	0	0.0079	0.0158	0.0596	0.1436	0.0181	0.0529	0.0213	0.0651
1__31337175__31339048__1:31337175|31339048	0.1223	0.1385	0.0829	0.1857	0.1716	0.1051	0.0342	0.0816	0.0931	0.1431	0.1192	0.2678	0.1423	0.2129	0.1344	0.1277	0	0.0805	0.0956	0.0831	0.1027	0.1031	0.1481	0.0461	0.1916	0.1365	0.2192	0.3265	0.209	0.1912	0.121	0.1379	0.2435	0.0951	0.2087	0.1795	0.1266	0.2511	0.1063	0.0868
1__31346640__31348974__1:31346640|31348974	0.0612	0.0308	0.0829	0.0696	0.0191	0.045	0	0	0.0372	0.0954	0.0794	0.0618	0.0474	0.1355	0.0384	0.0182	0.0559	0.0604	0	0	0	0.0258	0.0296	0.0461	0.0958	0.0341	0	0.0408	0.0348	0.0478	0.0519	0.0197	0.0628	0	0.0298	0.0359	0.0542	0.0397	0.0213	0
1__31910038__31911826__1:31910038|31911826	0.0408	0.0769	0.1244	0.0348	0	0.0901	0.1026	0.0816	0.0559	0.1193	0.0397	0.0412	0.0316	0.0581	0.0768	0.0547	0.0186	0	0.0239	0.0623	0.0685	0.0258	0.0148	0.0923	0.0958	0.0341	0.1315	0.0204	0.0522	0.0159	0.0346	0.1182	0.1021	0.0317	0.0298	0.1257	0.0542	0.1322	0.1276	0.0434
1__31915895__31919658__1:31915895|31919658	0.2243	0.3692	0.3316	0.5571	0.0572	0.0751	0.2906	0.2245	0.2607	0.0239	0.0596	0.0412	0.0949	0.9484	0.557	0.0365	0.5034	0.5634	0.2869	0.0415	0.4792	0.3351	0.4889	0.3383	0.016	0.0341	0.4822	0.755	0.505	0.0956	0.0691	0.3744	0.0393	0	0.4771	0.0898	0.0362	0.0529	0.085	0.4342
1__32030298__32033334__1:32030298|32033334	0.0408	0.0615	0.1658	0.1509	0.1144	0.1501	0.0171	0.0816	0.0186	0.0716	0.0596	0.206	0.0474	0.1355	0.0576	0.0182	0.0746	0.0805	0.0717	0.1454	0.1369	0.1289	0.1333	0.0461	0.0479	0	0.0877	0.1428	0.1045	0.0319	0.0346	0.1379	0.165	0.1109	0	0.2154	0.0723	0.0132	0.0425	0.1303
1__32036910__32038619__1:32036910|32038619	0.0612	0	0.0207	0.0464	0	0.015	0	0.0612	0	0.0239	0.0199	0	0	0	0.0384	0.0729	0.0186	0.0201	0	0.0831	0	0.0773	0.0296	0	0	0.0853	0.0219	0.0408	0.0174	0.0159	0.0864	0	0.0236	0.0317	0	0.0359	0.0542	0.0397	0	0.0434
1__32224034__32224475__1:32224034|32224475	0.1427	0.0462	0.1036	0.058	0.0572	0.0751	0.0171	0	0.0372	0.0954	0.1192	0.1648	0.1107	0.2129	0	0.0547	0.0186	0.0805	0.0717	0.0831	0.0342	0.0773	0.1926	0.0923	0.0798	0.1194	0.1754	0.1632	0.1045	0.0797	0.0864	0.1182	0.0393	0.0475	0.1491	0.1257	0	0	0.1063	0.152
